 Фамилия Имя Отчество;Номер телефона;Электронная почта;Серия и номер паспорта;Код подразделения;Адрес регистрации;Кем выдан;Дата выдачи;Дата рождения;Тип заявки;Дата и время поступления
Гордиенко Валерия Игоревна;+7 (952) 328-55-37;afanasiy6812@rambler.ru;4 863 994 624;640-26;Россия, г. Хабаровск, Заслонова ул., д. 20 кв.23;ОВД России по г. Хабаровск;28.03.2020;25.03.1987;Инвестиционное консультирование;07.12.2023 8:35
Финоченко Варя Петровна;+7 (909) 884-76-14;ilya1973@rambler.ru;4 586 901 416;400-939;Россия, г. Курск, Березовая ул., д. 22 кв.57;ОУФМС России по г. Курск;26.12.2018;04.12.1973;Оформление банковской карты;07.12.2023 8:37
Шахматова Василиса Михайловна;+7 (996) 593-84-92;marina11@hotmail.com;4 487 126 053;170-284;Россия, г. Ковров, Весенняя ул., д. 22 кв.28;Отделом внутренних дел России по г. Ковров;27.03.2019;12.08.1966;Изменение личных данных;07.12.2023 8:53
Сибирова Анна Юрьевна;+7 (992) 102-25-69;david23081973@mail.ru;4 029 739 004;770-244;Россия, г. Волгодонск, Сельская ул., д. 18 кв.109;ОУФМС России по г. Волгодонск;05.05.2020;23.08.1973;Оформление ипотеки;07.12.2023 9:07
Фурман Дарья Ивановна;+7 (979) 398-39-67;darya12071967@rambler.ru;4 079 734 065;880-197;Россия, г. Курган, Ленина В.И.ул., д. 6 кв.17;ОУФМС России по г. Курган;12.05.2017;12.07.1967;Жалоба или обращение о проблеме с банковскими услугами;07.12.2023 9:11
Науменко София Андреевна;+7 (996) 850-22-54;yaroslava.bushmeleva@rambler.ru;4 737 557 534;560-393;Россия, г. Грозный, Приозерная ул., д. 5 кв.181;Отделом внутренних дел России по г. Грозный;19.07.2021;21.01.1991;Управление активами;07.12.2023 9:41
Джаватова Алина Мансуровна;+7 (947) 639-34-71;olga1964@yandex.ru;4 730 373 506;720-762;Россия, г.Севастополь, ул.Мичурина, д.1;Отделением УФМС России по г.Севастополь;06.12.2021;05.09.1964;Открытие счёта;07.12.2023 10:00
Киселев Влад  Иванович;+7 (955) 251-77-52;marianna1628@ya.ru;4 038 719 472;390-988;Россия, г. Ковров, Набережная ул., д. 6 кв.121;Отделением УФМС России по г. Ковров;09.09.2019;11.07.1987;Оформление страхования;07.12.2023 10:05
Ашурова Самира Ксеновна;+7 (936) 215-39-17;lyudmila.lyasina@hotmail.com;4 856 325 106;210-236;Россия, г. Краснодар, Шоссейная ул., д. 10 кв.27;Отделом внутренних дел России по г. Краснодар;23.07.2015;22.07.1991;Оформление ипотеки;07.12.2023 10:15
Маркова Ксения Васильевна;+7 (961) 256-43-99;tatyana51@yandex.ru;4 734 693 897;320-951;Россия, г. Ессентуки, Спортивная ул., д. 14 кв.127;Отделением УФМС России по г. Ессентуки;10.10.2019;07.12.1985;Регистрация брака или рождения;07.12.2023 11:16
Шалаев Артем Александрович;+7 (925) 938-59-59;marina8600@gmail.com;4 457 350 612;510-548;Россия, г. Невинномысск, Калинина ул., д. 15 кв.77;ОВД России по г. Невинномысск;28.10.2023;09.06.1964;Проведение валютных операций;07.12.2023 11:22
Джагацпанян Эдгард Майлович;+7 (996) 561-97-68;yaroslava3943@gmail.com;4 567 268 511;780-477;Россия, г. Новосибирск, Первомайская ул., д. 16 кв.2;Отделением УФМС России по г. Новосибирск;12.10.2021;10.01.1972;Оформление счёта;07.12.2023 11:48
Пащанова Диана Фирсовна;+7 (926) 244-50-71;maryana3174@rambler.ru;4 494 183 311;950-483;Россия, г. Волжский, Березовая ул., д. 5 кв.63;Отделом внутренних дел России по г. Волжский;01.11.2017;01.07.1985;Получение финансовой помощи;07.12.2023 12:27
Цейко Максим Федорович;+7 (963) 439-99-13;varvara14@mail.ru;4 249 714 934;870-686;Россия, г. Раменское, Белорусская ул., д. 2 кв.73;Отделением УФМС России по г. Раменское;05.04.2014;21.01.1986;Оформление ипотеки;07.12.2023 12:40
Баранов Семен Дмитриевич;+7 (913) 641-63-70;gavriil05081988@rambler.ru;4 696 411 154;660-683;Россия, г. Курск, Полевой пер., д. 3 кв.123;Отделением УФМС России в г. Курск;27.05.2022;05.08.1988;Проведение валютных операций;07.12.2023 12:43
Богданов Петр Петрович;+7 (924) 214-72-85;maksim9596@rambler.ru;4 189 632 662;160-945;Россия, г. Братск, Победы ул., д. 15 кв.8;Управление внутренних дел по г. Братск;29.03.2020;11.04.1970;Управление активами;07.12.2023 12:47
Резников Илья Алексеевич;+7 (923) 284-12-59;maksim14101981@rambler.ru;4 271 237 141;240-539;Россия, г. Калининград, Октябрьский пер., д. 24 кв.59;Отделением УФМС России по г. Калининград;24.07.2019;14.10.1981;Покупка и продажа ценных бумаг;07.12.2023 12:54
Осипов Дмитрий Викторович;+7 (945) 408-63-14;nadejda16101987@rambler.ru;4 288 884 733;170-860;Россия, г. Миасс, Победы ул., д. 23 кв.105;Отделением УФМС России в г. Миасс;24.01.2021;16.10.1987;Оформление банковского депозита;07.12.2023 13:08
Северина Валерия Игоревна;+7 (978) 421-91-11;vasilisa18071991@yandex.ru;4 566 461 022;420-295;Россия, г. Елец, Речной пер., д. 21 кв.15;Отделением УФМС России по г. Елец;18.03.2023;18.07.1991;Пусто;07.12.2023 13:23
Мышляева Юлия Петровна;+7 (928) 720-48-22;rostislav.sidorov@rambler.ru;4 269 593 840;920-580;Россия, г. Подольск, Почтовая ул., д. 9 кв.106;Управление внутренних дел по г. Подольск;19.02.2021;21.12.1996;Управление активами;07.12.2023 14:14
Шмырова Юлия Афанасьева;+7 (933) 542-57-54;vasilisa.kravcova@outlook.com;4 460 885 094;970-999;Россия, г. Новошахтинск, Сельская ул., д. 22 кв.167;Отделом внутренних дел России по г. Новошахтинск;25.10.2020;23.05.1983;Проведение валютных операций;07.12.2023 14:22
